Nama Produk,Harga,Link,Gambar
SAMSUNG SMARTPHONE GALAXY ZFLIP6 5G SERIES (Mint),12.899.000,https://myhartono.com/en/samsung-smartphone-galaxy-zflip6-5g-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F741BLGAXID-usp.webp
SAMSUNG SMARTPHONE GALAXY ZFLIP6 5G SERIES (Blue),17.499.000,https://myhartono.com/en/samsung-smartphone-galaxy-zflip6-5g-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F741BLGAXID-usp.webp
"SAMSUNG GALAXY Z FOLD6 12/256GB SERIES (Silver, 12GB, 256GB)",20.899.000,https://myhartono.com/en/samsung-galaxy-z-fold6-12-256gb-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F956BDBDXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Navy, 12GB, 256GB)",16.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Icy Blue, 12GB, 256GB)",16.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Silver, 12GB, 256GB)",16.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 SERIES (Icy Blue, 12GB, 512GB)",15.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S931BDBCXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (White, 12GB, 512GB)",23.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (Black, 12GB, 512GB)",23.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (Silver, 12GB, 256GB)",20.999.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (Black, 12GB, 256GB)",20.999.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Silver, 12GB, 512GB)",18.599.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Navy, 12GB, 512GB)",18.599.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Light Pink, 12GB, 256GB)",6.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Light Pink, 8GB, 256GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Light Pink, 8GB, 128GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Gray, 8GB, 128GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Black, 8GB, 128GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Gray, 12GB, 256GB)",6.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Black, 8GB, 256GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A36 5G SERIES (Light Violet, 12GB, 256GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a36-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A366BLGTXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A36 5G SERIES (Gray, 12GB, 256GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a36-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A366BLGTXID-usp.webp
SAMSUNG SMARTPHONE GALAXY ZFLIP6 5G SERIES (Yellow),17.499.000,https://myhartono.com/en/samsung-smartphone-galaxy-zflip6-5g-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F741BLGAXID-usp.webp
SAMSUNG SMARTPHONE GALAXY ZFLIP6 5G SERIES (Silver),17.499.000,https://myhartono.com/en/samsung-smartphone-galaxy-zflip6-5g-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F741BLGAXID-usp.webp
SAMSUNG SMARTPHONE GALAXY ZFLIP6 5G SERIES (Mint),12.899.000,https://myhartono.com/en/samsung-smartphone-galaxy-zflip6-5g-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F741BLGAXID-usp.webp
SAMSUNG SMARTPHONE GALAXY ZFLIP6 5G SERIES (Blue),17.499.000,https://myhartono.com/en/samsung-smartphone-galaxy-zflip6-5g-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F741BLGAXID-usp.webp
"SAMSUNG GALAXY Z FOLD6 12/256GB SERIES (Silver, 12GB, 256GB)",20.899.000,https://myhartono.com/en/samsung-galaxy-z-fold6-12-256gb-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-F956BDBDXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Navy, 12GB, 256GB)",16.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Icy Blue, 12GB, 256GB)",16.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Silver, 12GB, 256GB)",16.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 SERIES (Icy Blue, 12GB, 512GB)",15.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S931BDBCXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (White, 12GB, 512GB)",23.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (Black, 12GB, 512GB)",23.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (Silver, 12GB, 256GB)",20.999.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES (Black, 12GB, 256GB)",20.999.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-ultra-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S938BZKBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Silver, 12GB, 512GB)",18.599.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY S25+ SERIES (Navy, 12GB, 512GB)",18.599.000,https://myhartono.com/en/samsung-smartphone-galaxy-s25-series-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-S936BLBBXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Light Pink, 12GB, 256GB)",6.699.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Light Pink, 8GB, 256GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Light Pink, 8GB, 128GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Gray, 8GB, 128GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
"SAMSUNG SMARTPHONE GALAXY A56 5G SERIES (Black, 8GB, 128GB)",6.199.000,https://myhartono.com/en/samsung-smartphone-galaxy-a56-5g-series/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/418/SM-A566BZKSXID-usp.webp
